tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
3;20.20;69.9;1694;-0.88;-1.22;10.63;-1.26;-1.33;-1.24;19.73;1013.9;0.1
23;20.30;70.8;0;0.01;0.04;9.51;-0.83;-0.20;0.43;19.69;1013.9;0.1
43;21.00;69.3;1731;-0.01;0.08;9.88;-2.84;0.16;-0.42;19.65;1013.9;0.1
64;21.50;69.2;0;0.06;0.15;9.74;-0.58;0.60;-0.15;19.71;1013.9;0.1
84;21.70;70.0;1719;0.26;-0.08;9.31;-1.32;0.30;0.60;19.68;1013.8;0.1
105;21.90;67.5;0;0.13;-0.18;9.38;-1.00;0.19;0.53;19.62;1013.9;0.1
125;21.90;64.9;1713;0.17;-0.14;9.42;-0.84;0.05;0.47;19.51;1013.8;0.1
146;21.90;63.6;0;0.09;0.38;8.61;-0.00;-1.21;1.51;19.42;1013.8;0.1
166;21.90;63.2;1688;0.13;0.04;9.44;-0.90;-1.02;-0.40;19.42;1013.8;0.0
187;21.90;65.1;0;0.09;-0.11;9.12;-1.10;-0.10;0.51;19.36;1013.8;0.1
207;22.00;64.2;1681;0.11;-0.35;9.23;-0.96;0.73;-0.30;19.33;1013.8;0.1
228;22.00;63.2;0;0.10;0.04;9.37;-1.28;0.15;0.49;19.26;1013.8;0.1
248;22.10;62.6;1669;0.16;-0.25;9.40;-1.06;0.04;0.33;19.20;1013.8;0.1
269;22.00;62.6;0;-0.01;0.09;9.31;-1.13;-0.04;0.35;19.14;1013.9;0.1
289;22.00;62.7;1650;0.16;-0.23;9.29;-0.36;0.00;5.18;19.14;1013.8;0.1
310;22.00;64.0;0;0.21;-0.04;9.15;-0.89;-0.03;0.51;19.14;1013.8;0.1
330;22.00;65.6;1663;0.09;-0.39;8.79;-1.17;0.40;0.48;19.17;1013.8;0.1
351;22.10;65.1;0;0.16;-0.12;9.26;-0.52;-0.01;0.53;19.22;1013.9;0.1
371;22.10;65.0;1644;0.10;-0.15;9.30;-0.81;-0.24;0.44;19.30;1013.8;0.1
391;22.20;66.1;0;0.11;-0.14;9.35;-1.10;-0.62;0.51;19.30;1013.8;0.1
411;22.20;65.7;1638;0.16;-0.24;9.22;-1.01;-0.03;0.44;19.26;1013.8;0.1
432;22.30;64.3;0;0.17;-0.25;9.18;-1.00;-0.16;0.57;19.22;1013.8;0.1
452;22.30;63.7;1619;0.12;-0.26;9.26;-0.74;0.00;0.38;19.22;1013.8;0.1
473;22.30;63.7;0;0.17;-0.23;9.24;-1.06;-0.32;0.45;19.18;1013.9;0.1
493;22.20;63.2;1600;0.12;-0.31;9.21;-0.83;0.02;0.28;19.16;1013.8;0.1
514;22.20;63.2;0;0.10;-0.18;9.22;-1.20;-0.12;0.56;19.12;1013.8;0.1
534;22.20;63.1;1594;0.03;-0.15;9.40;-0.87;-0.02;0.39;19.11;1013.8;0.1
555;22.10;64.3;0;0.10;-0.17;9.37;-1.07;-0.16;0.46;19.07;1013.8;0.1
575;22.10;64.0;1613;0.07;-0.31;9.60;-0.81;1.60;-0.28;19.05;1013.9;0.1
596;22.00;64.4;0;0.29;-0.02;9.76;-0.78;0.88;1.02;19.04;1013.8;0.1
616;22.10;64.9;1625;0.39;-0.37;9.18;7.42;1.31;0.96;19.12;1013.8;0.1
637;22.10;65.3;0;0.12;-0.30;9.36;-0.77;-0.04;0.67;19.18;1013.8;0.1
657;22.10;65.2;1675;0.15;0.05;9.18;-1.19;-0.09;0.54;19.09;1013.8;0.1
678;22.10;64.9;0;0.11;-0.08;9.43;-0.92;-0.11;0.38;19.00;1013.7;0.1
698;22.00;64.5;1656;0.12;-0.12;9.24;-0.97;-0.06;0.34;18.92;1013.8;0.1
718;22.00;64.6;0;0.14;-0.17;9.23;-0.68;-0.11;0.53;18.86;1013.8;0.1
739;21.90;64.4;1638;0.12;-0.14;9.29;-1.07;-0.16;0.44;18.83;1013.8;0.1
759;21.90;64.2;0;0.10;-0.12;9.23;-0.93;-0.17;0.43;18.81;1013.8;0.1
779;21.90;64.4;1625;0.18;-0.22;9.20;-0.70;0.04;0.54;18.80;1013.8;0.1
800;21.90;64.3;0;0.40;-0.27;9.11;-1.81;-0.23;-0.62;18.74;1013.8;0.1
820;21.90;64.3;1600;0.68;-0.05;9.51;-1.12;0.82;0.71;18.71;1013.8;0.1
841;21.80;64.1;0;0.16;-0.11;9.22;-0.93;-0.12;0.42;18.60;1013.9;0.1
861;21.90;64.0;1600;0.16;-0.13;9.18;-1.05;-0.12;0.32;18.54;1013.8;0.1
882;21.90;63.8;0;0.17;-0.14;9.25;-1.01;-0.14;0.51;18.39;1013.8;0.0
902;21.90;63.9;1594;0.10;-0.10;9.31;-1.03;-0.03;0.41;18.33;1013.8;0.1
923;21.90;63.9;0;0.12;-0.06;9.17;-1.04;0.06;0.54;18.29;1013.8;0.0
943;21.90;64.0;1588;0.13;-0.09;9.33;-0.96;0.09;0.44;18.20;1013.8;0.0
964;21.90;64.0;0;0.19;-0.12;9.21;-0.94;0.09;0.45;18.17;1013.8;0.1
984;21.90;64.1;1588;0.15;-0.17;9.19;-0.97;-0.14;0.27;18.14;1013.8;0.1
1005;21.80;64.1;0;0.15;-0.09;9.28;-0.96;-0.07;0.38;18.17;1013.8;0.1
1025;21.80;64.3;1575;-0.56;-0.21;8.99;-0.98;-2.27;-0.07;18.20;1013.8;0.1
1046;21.80;64.4;0;0.10;-0.13;9.27;-1.00;-0.50;0.38;18.20;1013.8;0.1
1066;21.80;64.6;1575;-0.01;-0.25;9.05;-0.95;-0.43;-0.17;18.21;1013.8;0.1
1086;21.70;64.8;0;0.20;-0.13;9.24;-1.04;0.10;0.87;18.19;1013.8;0.1
1107;21.70;64.6;1581;0.10;-0.39;9.23;-1.34;0.01;-0.05;18.20;1013.8;0.1
1127;21.70;64.7;0;0.14;-0.12;9.07;-1.19;0.15;0.36;18.26;1013.9;0.1
1147;21.80;64.7;1575;-0.06;-1.02;9.97;2.59;1.28;-2.24;18.32;1013.7;0.1
1168;21.90;64.7;0;0.05;1.34;9.87;-18.25;-8.51;8.99;18.40;1013.7;0.1
1188;21.90;64.6;1594;-0.18;0.68;9.76;-17.51;-2.79;5.27;18.47;1013.8;0.1
1209;21.90;64.5;0;0.10;-0.72;8.60;-0.35;-0.49;1.25;18.52;1013.8;0.1
1229;22.00;64.5;1625;0.36;-1.72;9.14;25.15;-4.45;-3.16;18.59;1013.8;0.1
1250;22.10;64.4;0;0.48;-0.94;9.80;30.87;5.19;9.06;18.64;1013.7;0.1
1270;22.10;64.3;1619;0.17;-0.07;9.13;-1.19;-0.84;0.29;18.70;1013.8;0.1
1291;22.20;64.2;0;0.16;0.53;7.98;-0.72;0.15;0.45;18.76;1013.8;0.1
