tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
4050;23.70;61.0;1606;0.05;-0.59;9.56;-1.05;-0.01;0.41;20.91;1014.6;0.1
4071;23.70;61.0;0;0.12;-0.58;9.55;-0.96;-0.15;0.38;20.91;1014.6;0.1
4091;23.70;61.0;1600;0.15;-0.54;9.49;-0.99;-0.01;0.47;20.90;1014.6;0.1
4112;23.70;61.0;0;0.13;-0.60;9.45;-0.93;0.07;0.44;20.90;1014.6;0.1
4132;23.70;61.0;1606;0.05;-0.63;9.48;-0.97;0.09;0.55;20.91;1014.6;0.1
4153;23.70;61.1;0;0.06;-0.58;9.47;-0.92;0.02;0.36;20.91;1014.6;0.1
4173;23.70;61.1;1606;0.10;-0.56;9.56;-0.98;-0.12;0.58;20.91;1014.7;0.1
4194;23.70;61.1;0;0.13;-0.56;9.44;-0.97;-0.02;0.48;20.91;1014.6;0.1
4214;23.70;61.1;1619;0.12;-0.57;9.46;-0.88;0.03;0.33;20.90;1014.6;0.1
4235;23.70;61.2;0;0.06;-0.63;9.59;-1.08;0.04;0.38;20.91;1014.6;0.1
4255;23.70;61.2;1625;0.11;-0.53;9.49;-0.90;0.08;0.35;20.91;1014.6;0.1
4276;23.70;61.2;0;0.04;-0.54;9.46;-0.92;0.15;0.46;20.92;1014.6;0.1
4296;23.70;61.2;1619;0.12;-0.59;9.59;-1.00;-0.01;0.44;20.91;1014.6;0.1
4316;23.70;61.2;0;0.07;-0.54;9.51;-1.03;0.12;0.48;20.91;1014.7;0.1
4337;23.70;61.2;1625;0.13;-0.53;9.53;-1.00;0.04;0.51;20.90;1014.6;0.1
4357;23.70;61.3;0;0.11;-0.56;9.52;-0.84;-0.03;0.31;20.92;1014.6;0.1
4377;23.70;61.3;1619;0.13;-0.61;9.42;-0.87;0.05;0.41;20.92;1014.7;0.1
4398;23.70;61.3;0;0.13;-0.63;9.59;-0.88;0.20;0.53;20.92;1014.7;0.1
4418;23.70;61.3;1606;0.04;-0.58;9.51;-0.93;0.00;0.47;20.93;1014.6;0.1
4439;23.70;61.3;0;0.07;-0.53;9.35;-1.50;0.13;1.37;20.94;1014.7;0.1
4459;23.70;61.3;1600;0.17;-0.60;9.22;-0.96;-0.03;0.37;20.91;1014.6;0.1
4480;23.70;61.3;0;-0.33;-0.91;8.39;-3.69;0.97;2.43;20.94;1014.7;0.1
4500;23.70;61.3;1594;0.20;-0.73;9.73;-3.91;-6.21;4.17;20.92;1014.6;0.1
4521;23.70;61.4;0;0.20;-0.91;9.91;-1.19;3.51;-0.19;20.92;1014.6;0.1
4541;23.70;61.4;1594;0.07;-1.06;9.66;-0.67;3.37;1.70;20.92;1014.7;0.1
4562;23.70;61.4;0;0.05;-0.38;9.64;-9.38;8.18;-5.20;20.92;1014.6;0.1
4582;23.70;61.4;1606;-0.05;-0.53;9.48;8.07;1.73;1.94;20.92;1014.6;0.1
4603;23.70;61.5;0;0.04;-0.42;9.60;-3.23;-2.06;7.86;20.92;1014.7;0.1
4623;23.70;61.5;1613;0.45;-0.14;9.22;-1.00;-1.03;3.03;20.91;1014.7;0.1
4644;23.70;61.5;0;0.12;-0.35;9.36;-0.60;1.68;-0.14;20.91;1014.7;0.1
4664;23.70;61.5;1625;0.17;-0.12;9.09;-0.84;-0.07;0.21;20.92;1014.6;0.1
4684;23.80;61.4;0;0.19;-0.21;9.59;-1.44;0.54;0.09;20.94;1014.6;0.1
4704;23.80;61.5;1631;0.04;0.08;9.31;-1.04;0.43;0.95;20.94;1014.7;0.1
4725;23.80;61.4;0;0.19;-0.24;9.19;-1.06;0.10;0.34;20.96;1014.6;0.1
4745;23.80;61.4;1631;0.16;-0.20;9.11;-0.93;0.38;-0.69;20.96;1014.7;0.1
4766;23.80;61.4;0;0.14;-0.02;9.13;-0.92;-0.67;-0.08;20.98;1014.7;0.1
4786;23.80;61.4;1619;0.08;-0.44;9.66;1.88;2.18;-3.70;20.97;1014.6;0.1
4807;23.80;61.4;0;0.15;-1.20;8.86;-0.97;0.29;0.35;20.98;1014.7;0.1
4827;23.80;61.4;1600;0.26;0.01;8.81;-1.11;1.82;1.71;20.97;1014.7;0.1
4848;23.80;61.5;0;-0.11;1.58;9.09;-1.02;-0.30;1.49;20.97;1014.7;0.1
4868;23.80;61.5;1588;0.23;-0.50;8.65;-0.85;0.01;0.50;20.97;1014.6;0.1
4889;23.80;61.5;0;0.19;-0.41;8.55;-0.85;0.04;0.57;20.96;1014.6;0.1
4909;23.90;61.5;1581;0.23;-0.48;8.53;-0.87;0.02;0.37;20.98;1014.7;0.1
4930;23.90;61.5;0;0.24;-0.30;8.33;-1.04;-0.13;0.41;20.97;1014.7;0.1
4950;23.90;61.4;1600;0.07;-0.75;9.06;-0.88;0.17;0.02;20.99;1014.6;0.1
4971;23.90;61.4;0;0.21;-0.69;8.71;-1.13;-0.21;0.26;20.97;1014.6;0.1
4991;23.90;61.4;1606;0.22;-0.81;8.72;-0.87;-0.01;0.30;20.98;1014.7;0.1
5012;23.90;61.3;0;0.18;-0.68;8.70;-0.87;0.05;0.38;20.97;1014.6;0.1
5032;23.90;61.3;1613;0.21;-0.62;8.73;-0.85;0.03;0.47;20.97;1014.7;0.1
5052;24.00;61.3;0;0.13;-0.65;8.69;-0.93;0.12;0.39;20.97;1014.6;0.1
5072;24.00;61.3;1613;0.21;-0.67;8.66;-0.90;0.11;0.45;20.97;1014.7;0.1
5093;24.00;61.3;0;0.24;-0.70;8.61;-0.88;0.15;0.44;20.98;1014.6;0.1
5113;24.00;61.3;1625;0.22;-0.69;8.70;-1.00;-0.06;0.50;20.98;1014.7;0.1
5134;24.00;61.3;0;0.18;-0.68;8.66;-0.67;0.05;0.56;20.99;1014.7;0.1
5154;24.00;61.2;1638;0.19;-0.69;8.79;-0.93;0.12;0.42;20.99;1014.7;0.1
5175;24.00;61.2;0;0.23;-0.73;8.74;-0.84;-0.10;0.51;21.00;1014.7;0.1
5195;24.00;61.3;1650;0.25;-0.68;8.76;-0.92;-0.11;0.58;21.01;1014.6;0.1
5216;24.00;61.3;0;0.17;-0.70;8.70;-0.90;-0.01;0.55;21.01;1014.6;0.1
5236;24.00;61.2;1669;0.15;-0.75;8.66;-0.93;0.05;0.46;21.02;1014.7;0.1
5257;24.10;61.2;0;0.22;-0.72;8.72;-0.90;0.00;0.34;21.02;1014.6;0.1
5277;24.10;61.3;1688;0.20;-0.69;8.74;-0.97;0.05;0.48;21.04;1014.7;0.1
5298;24.10;61.3;0;0.17;-0.69;8.72;-0.84;0.18;0.55;21.04;1014.6;0.1
5318;24.10;61.3;1700;0.16;-0.71;8.69;-0.84;0.13;0.50;21.05;1014.7;0.1
5339;24.10;61.3;0;0.16;-0.66;8.63;-0.94;-0.14;0.50;21.07;1014.6;0.1
5359;24.10;61.3;1688;0.20;-0.75;8.67;-0.99;0.05;0.45;21.08;1014.7;0.1
5379;24.10;61.3;0;0.18;-0.66;8.70;-0.87;0.02;0.48;21.09;1014.7;0.1
5400;24.10;61.3;1700;0.20;-0.71;8.69;-0.89;0.13;0.48;21.10;1014.7;0.1
5420;24.20;61.3;0;0.22;-0.70;8.70;-0.99;0.08;0.37;21.11;1014.7;0.1
5440;24.20;61.3;1713;0.17;-0.63;8.66;-0.75;0.11;0.48;21.12;1014.7;0.1
5461;24.20;61.3;0;0.19;-0.72;8.77;-0.92;0.05;0.47;21.14;1014.7;0.1
5481;24.20;61.3;1731;0.18;-0.67;8.75;-1.15;0.14;0.51;21.16;1014.7;0.1
5502;24.30;61.3;0;0.15;-0.72;8.73;-0.99;0.12;0.38;21.17;1014.7;0.1
5522;24.30;61.2;1719;0.21;-0.73;8.63;-0.87;0.08;0.32;21.19;1014.7;0.1
5543;24.30;61.3;0;0.16;-0.73;8.73;-0.81;0.16;0.34;21.19;1014.7;0.1
5563;24.30;61.2;1738;0.18;-0.72;8.68;-1.05;-0.04;0.31;21.22;1014.7;0.1
5584;24.30;61.3;0;0.22;-0.69;8.74;-0.93;0.11;0.34;21.23;1014.7;0.1
5604;24.40;61.2;1769;0.13;-0.74;8.68;-1.13;0.06;0.53;21.24;1014.8;0.1
5625;24.40;61.2;0;0.22;-0.70;8.75;-0.88;-0.06;0.38;21.25;1014.8;0.1
5645;24.40;61.2;1813;0.22;-0.69;8.67;-0.94;-0.04;0.47;21.27;1014.8;0.1
5666;24.50;61.1;0;0.20;-0.66;8.68;-0.85;0.09;0.41;21.28;1014.8;0.1
5686;24.50;61.1;1819;0.18;-0.72;8.62;-1.07;0.00;0.42;21.30;1014.8;0.1
5707;24.50;61.1;0;0.23;-0.73;8.72;-0.99;0.04;0.48;21.31;1014.8;0.1
5727;24.60;61.0;1819;0.16;-0.70;8.71;-1.01;0.12;0.43;21.33;1014.7;0.1
5747;24.60;61.0;0;0.16;-0.75;8.51;-0.84;-0.10;0.44;21.35;1014.8;0.1
5768;24.60;61.1;1900;0.18;-0.71;8.63;-0.89;0.05;0.44;21.37;1014.7;0.1
5788;24.70;61.0;0;0.26;-0.74;8.69;-0.95;0.12;0.44;21.38;1014.7;0.1
5808;24.70;60.9;1919;0.13;-0.84;8.73;-0.90;0.17;0.50;21.40;1014.7;0.1
5829;24.70;60.8;0;0.13;-0.79;8.70;-0.95;-0.01;0.41;21.41;1014.8;0.1
5849;24.80;60.7;1894;0.20;-0.78;8.76;-1.07;-0.08;0.48;21.44;1014.7;0.1
5870;24.80;60.7;0;0.15;-0.79;8.85;-1.03;0.23;0.51;21.44;1014.8;0.1
5890;24.90;60.7;1869;0.21;-0.78;8.71;-0.91;0.07;0.54;21.47;1014.8;0.1
5911;24.90;60.6;0;0.20;-0.75;8.75;-1.05;0.12;0.51;21.49;1014.8;0.1
5931;24.90;60.6;1844;0.17;-0.73;8.81;-0.92;-0.04;0.43;21.52;1014.8;0.1
5952;25.00;60.5;0;0.21;-0.73;8.82;-0.94;-0.02;0.44;21.54;1014.8;0.0
5972;25.00;60.5;1825;0.23;-0.75;8.73;-0.79;0.11;0.34;21.57;1014.7;0.1
5993;25.10;60.4;0;0.46;-1.27;9.15;-8.39;8.83;-15.75;21.60;1014.7;0.1
6013;25.10;60.3;1819;0.18;-0.66;8.74;-0.91;0.21;0.43;21.62;1014.8;0.1
6034;25.10;60.2;0;0.04;-1.61;10.02;-1.46;2.25;3.15;21.64;1014.7;0.1
6054;25.20;60.3;2050;0.02;0.21;11.34;5.58;23.20;-18.10;21.64;1014.7;0.1
6075;25.20;60.2;0;0.19;-0.40;8.80;-1.06;0.05;0.40;21.66;1014.8;0.1
6095;25.20;60.1;1994;0.17;-0.35;8.77;-0.94;0.00;0.44;21.68;1014.8;0.1
6115;25.20;60.1;0;0.24;-0.38;8.85;-0.84;0.23;0.51;21.70;1014.7;0.1
6135;25.30;60.2;1913;0.16;-0.37;8.87;-0.91;0.22;0.43;21.72;1014.8;0.1
6156;25.30;60.2;0;0.19;-0.37;8.79;-0.98;0.09;0.49;21.73;1014.7;0.1
6176;25.30;60.2;1869;0.24;-0.31;8.87;-0.98;0.19;0.32;21.75;1014.8;0.1
6197;25.30;60.1;0;0.20;-0.39;8.80;-0.91;0.09;0.41;21.77;1014.8;0.1
6217;25.40;60.1;1844;0.17;-0.37;8.89;-0.88;0.21;0.34;21.79;1014.8;0.1
6238;25.40;60.1;0;0.19;-0.34;8.86;-0.96;0.06;0.42;21.81;1014.7;0.1
6258;25.40;60.0;1819;0.19;-0.43;8.85;-0.82;0.16;0.34;21.83;1014.8;0.1
6279;25.40;60.1;0;0.19;-0.40;8.85;-0.84;0.13;0.54;21.85;1014.8;0.1
6299;25.40;60.0;1794;0.15;-0.38;8.86;-0.91;0.19;0.54;21.85;1014.8;0.1
6320;25.40;60.0;0;0.20;-0.41;8.81;-0.95;0.10;0.36;21.87;1014.8;0.1
6340;25.40;60.0;1756;0.22;-0.33;8.81;-0.81;0.10;0.43;21.88;1014.8;0.1
6361;25.40;60.0;0;0.21;-0.37;8.90;-0.79;-0.03;0.34;21.91;1014.9;0.1
6381;25.40;60.0;1750;0.16;-0.35;8.87;-0.94;0.18;0.47;21.91;1014.7;0.1
6402;25.40;60.0;0;0.14;-0.35;8.84;-0.84;-0.07;0.44;21.90;1014.8;0.0
6422;25.40;60.0;1750;0.19;-0.41;8.86;-0.91;0.15;0.28;21.93;1014.7;0.1
6443;25.40;60.0;0;0.16;-0.36;8.79;-0.83;0.02;0.45;21.94;1014.7;0.1
6463;25.40;60.0;1738;0.15;-0.32;8.84;-1.01;0.14;0.45;21.93;1014.8;0.1
6483;25.40;60.0;0;0.21;-0.41;8.88;-0.81;-0.07;0.34;21.94;1014.8;0.1
6503;25.40;60.1;1719;0.23;-0.35;8.82;-0.77;0.09;0.49;21.95;1014.8;0.1
6524;25.40;60.1;0;0.19;-0.37;8.83;-0.84;0.22;0.43;21.96;1014.8;0.1
6544;25.40;60.1;1719;0.15;-0.35;8.97;-0.94;0.18;0.60;21.95;1014.8;0.0
6565;25.40;60.1;0;0.16;-0.40;8.88;-1.00;0.05;0.41;21.97;1014.8;0.1
6585;25.40;60.1;1719;0.10;-0.49;8.33;-0.31;-4.16;0.76;21.96;1014.8;0.1
6606;25.40;60.1;0;0.12;-0.89;8.86;-1.11;0.79;0.83;21.96;1014.8;0.1
6626;25.40;60.1;1725;0.16;-0.47;8.96;-0.88;0.59;0.66;21.97;1014.8;0.1
6647;25.40;60.1;0;0.16;-0.63;8.98;-0.93;-0.20;0.58;21.97;1014.7;0.1
6667;25.30;60.2;1763;-0.07;0.04;9.57;-38.81;-6.04;-14.00;21.96;1014.7;0.1
6688;25.30;60.4;0;-0.32;-0.50;9.16;1.39;4.68;-6.62;21.99;1014.8;0.1
6708;25.30;60.5;1850;0.01;-0.47;9.44;21.84;-3.59;4.64;22.00;1014.8;0.2
6729;25.30;60.7;0;0.20;-0.87;9.77;-32.00;15.35;-18.25;22.01;1006.0;0.2
6749;25.30;60.6;1775;0.77;-0.69;9.71;2.16;-2.69;-8.62;21.98;993.3;0.2
6770;25.30;60.6;0;-0.32;-0.40;9.98;-48.50;4.35;-9.53;21.97;981.2;0.1
6790;25.30;60.5;1763;0.26;-0.85;10.43;57.68;-8.88;3.47;21.97;968.9;0.1
6811;25.30;60.4;0;-0.52;-0.17;9.46;26.90;6.36;5.95;21.98;956.2;0.0
6831;25.20;60.3;1669;0.92;-0.61;9.80;-17.08;1.71;-1.00;21.99;943.6;0.0
6851;25.30;60.0;0;0.10;0.12;9.91;56.73;-9.47;19.63;21.98;930.9;0.0
6871;25.30;59.7;1588;0.15;-0.18;9.79;15.89;8.54;17.19;21.96;917.8;0.1
6892;25.30;59.2;0;0.67;0.25;9.76;-31.58;27.14;-13.34;21.95;904.8;0.0
6912;25.30;58.8;1488;0.68;-0.36;9.21;8.72;5.14;-2.15;21.95;892.7;0.0
6933;25.30;58.2;0;0.29;-0.41;9.41;17.68;-3.39;11.66;21.94;880.7;0.0
6953;25.30;57.5;1313;-0.18;-0.20;9.83;90.75;-8.77;22.57;21.92;867.9;0.0
6974;25.30;56.9;0;-0.41;-0.43;9.98;-50.89;-2.71;-9.35;21.91;857.1;0.0
6994;25.30;56.1;1194;0.42;-0.52;10.06;50.36;-4.53;18.15;21.91;845.3;0.0
7015;25.30;55.8;0;-0.88;-0.60;10.27;-52.17;-4.11;-11.30;21.91;834.8;0.0
7035;25.30;55.1;1275;0.35;-0.09;9.70;-19.29;2.64;4.09;21.88;823.0;0.0
7056;25.30;53.7;0;0.59;-0.55;10.26;47.05;-3.37;3.77;21.86;811.7;0.0
7076;25.20;52.3;1413;1.15;-0.33;10.07;26.03;-4.88;-3.06;21.84;800.4;0.0
7097;25.20;50.1;0;-0.04;-0.85;9.77;-40.61;-0.71;-11.75;21.82;789.6;0.0
7117;25.20;49.9;1400;0.51;-0.09;10.29;-57.99;-0.73;-0.10;21.79;777.7;0.1
7138;25.10;49.5;0;-0.64;-0.24;9.90;42.55;-8.31;14.55;21.78;766.6;0.0
7158;25.10;49.0;1375;0.04;-0.19;9.71;-28.31;-4.78;-4.63;21.76;754.8;0.1
7179;25.00;47.3;0;0.56;-0.75;10.43;-36.34;-8.38;-7.48;21.74;743.9;0.0
7199;25.00;45.9;1356;-0.20;-0.61;10.09;-19.00;-2.05;2.23;21.72;732.3;0.0
7219;24.90;45.7;0;-0.15;-0.29;9.88;-55.56;-2.13;-8.92;21.70;721.5;0.0
7239;24.90;43.9;1325;0.68;-0.59;9.36;-15.10;8.84;8.71;21.68;711.2;0.1
7260;24.90;43.8;0;1.03;-0.82;10.46;34.35;11.53;-17.96;21.66;701.4;0.0
7280;24.80;43.1;1181;1.07;-0.07;9.25;-7.58;4.02;-23.49;21.64;690.6;0.0
7301;24.80;42.2;0;0.26;-0.26;10.18;-51.06;-7.62;-11.91;21.61;680.7;0.0
7321;24.80;42.0;1119;0.80;-0.03;10.05;-12.79;-4.68;2.35;21.56;670.2;0.1
7342;24.70;41.3;0;1.03;0.07;10.00;2.11;-24.42;-8.32;21.54;661.1;0.1
7362;24.70;40.1;1025;0.22;0.06;9.89;31.92;10.31;7.54;21.51;649.6;0.0
7383;24.70;39.1;0;-0.63;-0.17;9.62;48.63;-2.39;17.32;21.50;640.7;0.1
7403;24.60;38.2;994;0.97;0.10;9.70;-32.75;10.37;7.56;21.48;631.0;0.0
7424;24.60;37.9;0;0.13;-0.75;10.14;18.55;-10.65;-2.86;21.45;622.0;0.1
7444;24.50;37.5;906;0.19;-0.14;10.27;49.78;-11.31;17.30;21.44;613.0;0.0
7465;24.50;37.3;0;0.22;-0.14;9.79;9.33;-13.55;11.67;21.42;604.1;0.0
7485;24.40;37.2;881;0.77;0.39;10.15;-52.39;-27.58;-16.17;21.39;594.2;0.0
7506;24.40;36.7;0;0.29;-0.85;9.21;21.75;6.78;7.54;21.35;585.5;0.0
7526;24.30;37.1;806;0.49;-0.68;9.99;-2.39;8.35;3.17;21.33;577.1;0.0
7547;24.30;37.0;0;-0.25;-0.13;9.48;-18.10;19.03;-2.95;21.31;568.1;0.0
7567;24.20;36.4;663;0.07;-0.01;9.52;34.25;22.45;3.05;21.26;558.9;0.0
7587;24.20;36.2;0;0.04;-0.70;9.26;-23.21;-2.81;8.93;21.23;550.9;0.0
7607;24.10;36.1;575;0.40;-0.11;9.85;65.08;-55.34;0.76;21.18;543.2;0.0
7628;24.00;36.1;0;0.39;-0.70;10.09;-18.87;15.40;-38.64;21.14;534.9;0.1
7648;24.00;35.6;581;1.21;-0.01;9.82;-3.21;6.62;-4.04;21.10;526.7;0.0
7669;23.90;35.2;0;-1.24;-0.30;9.69;14.81;10.67;-6.31;21.06;518.7;0.0
7689;23.80;34.7;488;0.70;-0.62;10.01;41.11;20.85;8.85;21.03;511.0;0.0
7710;23.70;34.5;0;0.82;-0.81;10.32;-60.91;-42.36;15.65;20.98;503.0;0.0
7730;23.70;34.7;319;0.87;-0.59;9.55;9.99;9.64;-12.61;20.92;495.0;0.0
7751;23.60;34.3;0;0.95;-0.27;9.97;64.40;6.99;42.03;20.87;487.9;0.0
7771;23.50;33.9;231;-1.41;-0.53;9.41;-16.96;-0.22;0.03;20.84;480.8;0.0
7792;23.40;33.5;0;-0.52;-0.13;9.71;13.98;6.50;7.76;20.78;474.4;0.0
7812;23.30;33.3;144;0.16;-0.08;9.63;22.93;-11.17;16.38;20.72;467.5;0.0
7833;23.20;32.5;0;-0.30;-0.23;9.56;0.29;19.64;-19.68;20.67;460.5;0.0
7853;23.10;31.7;94;1.37;0.11;10.53;-10.95;-9.07;7.51;20.61;453.6;0.0
7874;23.00;31.2;0;0.26;-0.32;10.23;33.89;15.74;29.24;20.55;447.2;0.0
7894;22.90;30.9;88;-1.45;-0.06;9.47;-44.64;-2.49;0.41;20.48;439.7;0.0
7914;22.80;30.7;0;-0.35;-0.18;9.68;-63.22;3.41;-12.11;20.42;433.0;0.0
7935;22.70;30.6;-119;0.34;-0.36;10.01;-28.95;-16.95;-24.59;20.35;426.7;0.0
7955;22.60;30.3;0;0.70;-0.07;9.91;13.74;6.67;26.29;20.26;420.2;0.0
7975;22.50;30.1;-288;0.28;-0.47;10.08;37.84;-5.72;3.08;20.18;413.6;0.0
7996;22.40;29.7;0;-0.12;-0.90;9.76;53.74;-4.56;1.31;20.10;406.8;0.0
8016;22.20;29.1;-481;-0.19;-0.22;9.84;-36.15;-3.07;5.05;20.04;400.2;0.0
8037;22.10;28.7;0;1.41;-0.81;10.37;58.16;-4.17;-19.79;19.96;394.1;0.0
8057;22.00;29.0;-656;0.29;-0.66;9.83;-35.87;25.94;-4.72;19.88;387.6;0.0
8078;21.80;28.6;0;0.34;-0.63;10.16;14.85;5.36;7.52;19.79;381.7;0.0
8098;21.70;28.1;-619;0.08;-0.68;9.62;-17.94;5.42;6.18;19.70;375.3;0.0
8119;21.50;27.2;0;-0.68;-0.45;9.45;-5.17;-4.00;-0.06;19.59;369.3;0.0
8139;21.40;27.7;-819;0.76;-0.77;10.02;-56.89;-19.45;-9.36;19.50;364.0;0.0
8160;21.20;27.5;0;-0.25;-0.30;9.29;-5.11;14.81;-2.53;19.39;358.2;0.0
8180;21.10;27.9;-1006;0.58;-0.60;9.62;9.42;5.57;6.12;19.29;352.6;0.0
8201;20.90;27.5;0;0.25;-0.36;10.03;-44.61;17.16;12.02;19.19;347.9;0.0
8221;20.80;27.6;-1031;0.98;0.02;9.98;-22.18;13.13;6.34;19.07;341.9;0.0
8242;20.60;27.1;0;0.61;-0.25;10.19;24.63;-9.49;12.99;18.92;336.4;0.0
8262;20.40;26.6;-1175;-0.36;-0.53;10.05;61.58;2.70;14.19;18.83;330.6;0.0
8282;20.20;26.4;0;0.67;-0.26;10.05;-57.95;-9.53;-9.30;18.72;325.2;0.0
8303;20.10;26.2;-1325;0.44;-0.37;10.21;-72.84;-2.91;-3.52;18.61;319.9;0.0
8323;19.90;26.2;0;-0.16;-0.56;10.08;54.45;13.44;-7.49;18.48;314.2;0.0
8343;19.70;26.4;-1519;1.48;-0.88;10.15;6.11;-10.09;-18.38;18.38;309.0;0.0
8364;19.50;26.1;0;-0.85;-0.35;9.77;-12.77;6.42;-1.72;18.24;303.2;0.0
8384;19.30;25.5;-1769;0.01;-0.53;10.17;-57.48;2.78;-13.25;18.12;298.0;0.0
8405;19.10;25.3;0;0.31;-0.42;9.55;-12.88;9.59;-10.59;17.97;293.8;0.0
8425;18.90;25.4;-1856;-1.20;-0.71;9.79;9.25;-6.65;-8.24;17.83;288.5;0.0
8446;18.70;25.0;0;1.20;-0.53;10.26;8.91;-43.32;43.37;17.69;283.9;0.0
8466;18.50;24.9;-1850;0.18;-0.20;9.75;-2.97;-7.97;8.47;17.56;279.5;0.0
8487;18.20;24.3;0;-0.42;-0.29;9.68;-7.22;25.99;-18.82;17.44;274.8;0.0
8507;18.00;24.4;-1931;0.61;-0.35;10.16;-5.01;4.60;11.81;17.27;269.6;0.0
8528;17.80;24.6;0;-0.20;-0.52;10.01;-9.29;-10.04;-1.01;17.11;265.1;0.0
8548;17.50;24.4;-2100;0.28;-0.23;9.96;14.29;5.35;-2.86;16.95;260.0;0.0
8569;17.30;24.4;0;0.32;-0.23;9.73;-61.87;-1.36;-23.46;16.82;255.3;0.0
8589;17.00;24.3;-2288;0.27;-0.74;9.64;22.09;0.22;-8.14;16.64;250.6;0.0
8610;16.80;24.4;0;-1.14;-0.48;9.41;27.71;6.46;7.72;16.48;246.3;0.0
8630;16.50;24.1;-2413;1.39;-0.57;10.55;-59.39;-26.07;3.59;16.33;242.5;0.0
8651;16.20;24.6;0;0.72;-0.26;10.32;0.46;-9.33;4.46;16.17;237.5;0.0
8671;16.00;24.3;-2613;0.94;-0.30;10.02;11.32;21.09;-14.12;15.99;232.8;0.0
8691;15.70;24.1;0;-0.83;-0.47;9.75;-8.19;-4.17;2.12;15.84;229.1;0.0
8711;15.50;24.4;-2788;0.67;-0.23;9.82;1.62;5.42;-4.59;15.67;225.3;0.0
8732;15.20;24.6;0;1.20;-0.34;10.42;44.36;-15.60;-19.15;15.48;221.3;0.0
8752;14.90;24.9;-2975;0.64;-0.18;10.36;-17.60;-6.12;14.18;15.31;216.9;0.0
8773;14.60;24.8;0;1.17;-0.45;9.94;4.88;5.18;0.45;15.09;213.1;0.0
8793;14.30;24.6;-3075;-0.62;-0.45;9.76;-42.09;-1.75;0.83;14.92;209.7;0.0
8814;14.00;25.1;0;0.82;0.13;9.90;-29.99;39.77;5.41;14.74;205.7;0.0
8834;13.70;24.8;-3163;0.11;-0.32;9.78;-4.96;3.28;3.53;14.54;202.6;0.0
8855;13.40;24.8;0;0.79;-0.52;10.05;70.50;16.89;3.93;14.36;199.1;0.0
8875;13.20;25.1;-3388;0.14;-0.09;9.84;-29.56;3.96;-21.80;14.20;195.1;0.0
8896;12.90;24.6;0;0.95;-0.63;10.17;-27.86;-3.38;-2.43;13.99;191.7;0.0
8916;12.60;24.5;-3438;-1.21;-0.42;9.62;-38.11;8.16;-11.43;13.77;187.0;0.0
8937;12.30;24.6;0;0.44;-0.35;9.95;-45.88;-5.01;0.60;13.56;184.1;0.0
8957;12.00;25.1;-3450;0.83;-0.50;10.39;-14.90;-10.03;-9.12;13.36;181.0;0.0
8978;11.70;24.8;0;0.18;-0.58;9.98;20.55;-11.25;3.72;13.17;177.9;0.0
8998;11.40;24.8;-3438;0.85;-0.72;10.25;-24.83;-0.94;-21.34;12.98;175.3;0.0
9019;11.10;25.1;0;1.18;-0.67;10.07;-67.77;23.69;-29.79;12.76;172.2;0.0
9039;10.80;25.0;-3606;1.96;-0.44;10.24;3.13;27.10;-1.60;12.55;168.4;0.0
9059;10.50;25.1;0;0.11;-0.40;10.07;8.46;-4.06;12.69;12.36;165.7;0.0
9080;10.20;25.1;-3631;0.63;-0.33;10.57;75.61;3.12;16.91;12.15;162.9;0.0
9100;9.90;25.5;0;1.44;-0.69;10.68;-58.57;-24.33;-18.84;11.97;160.2;0.0
9120;9.60;25.3;-3688;0.97;-0.55;10.42;7.36;-24.88;-11.08;11.76;157.5;0.0
9141;9.30;25.6;0;1.78;-0.58;10.62;75.29;-16.18;0.20;11.59;155.1;0.1
9161;9.00;25.3;-3581;1.25;-0.77;10.45;60.68;-3.09;-13.54;11.40;152.4;0.0
9182;8.70;25.8;0;1.67;-0.33;10.32;-67.52;35.88;4.16;11.21;150.0;0.1
9202;8.40;26.0;-3656;0.85;-0.54;10.47;-35.75;-13.08;-8.98;11.00;147.6;0.1
9223;8.10;26.2;0;0.78;-0.48;10.32;50.13;4.67;8.65;10.82;145.6;0.1
9243;7.90;26.2;-3613;1.53;-0.56;10.37;-4.48;0.91;-6.84;10.65;143.3;0.1
9264;7.60;26.3;0;0.67;-0.59;10.42;-65.49;12.51;-23.08;10.47;141.0;0.1
9284;7.30;26.2;-3531;-1.23;-0.31;9.98;-27.64;4.53;4.37;10.25;138.7;0.1
9305;7.00;26.7;0;0.23;-0.45;10.31;-24.87;3.85;-26.28;10.02;136.9;0.1
9325;6.80;26.5;-3331;1.51;-0.46;10.68;-45.00;-21.35;20.56;9.80;134.7;0.1
9346;6.60;26.5;0;0.13;-0.47;10.53;-29.54;-13.75;-2.86;9.60;132.6;0.1
9366;6.30;26.1;-3256;1.17;-0.36;10.60;-31.95;-5.55;-5.29;9.40;130.6;0.1
9387;6.10;26.1;0;-0.20;-0.60;10.00;-14.48;9.00;-13.79;9.21;128.5;0.1
9407;5.80;26.2;-3419;1.54;-0.43;10.24;41.65;20.54;-2.04;9.02;126.3;0.1
9428;5.60;26.5;0;0.09;-0.44;10.28;45.25;3.06;4.77;8.87;124.4;0.1
9448;5.40;26.9;-3500;0.97;-0.37;10.65;56.75;-21.10;24.30;8.73;122.3;0.2
